"","country_code","country_name","pop","lat","lon","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","Deaths","Confirmed","Recovered","Active","Incident_Rate","People_Tested","People_Hospitalized","Mortality_Rate","Testing_Rate","Hospitalization_Rate","school_closing","school_closing_flag","school_closing_notes","workplace_closing","workplace_closing_flag","workplace_closing_notes","cancel_public_events","cancel_public_events_flag","cancel_public_events_notes","restrictions_on_gatherings","restrictions_on_gatherings_flag","restrictions_on_gatherings_notes","close_public_transit","close_public_transit_flag","close_public_transit_notes","stay_at_home_requirements","stay_at_home_requirements_flag","stay_at_home_requirements_notes","restrictions_on_internal_movement","restrictions_on_internal_movement_flag","restrictions_on_internal_movement_notes","international_travel_controls","international_travel_controls_notes","income_support","income_support_flag","income_support_notes","debt_contract_relief","debt_contract_relief_notes","fiscal_measures","fiscal_measures_notes","international_support","international_support_notes","public_information_campaigns","public_information_campaigns_flag","public_information_campaigns_notes","testing_policy","testing_policy_notes","contact_tracing","contact_tracing_notes","emergency_healthcare_investment","emergency_healthcare_investment_notes","vaccine_investment","vaccine_investment_notes","misc_wildcard_notes","stringency_index","ID"
"26","BG","Bangladesh",162650853,23.684994,90.356331,2020-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,"0.00",NA,NA,"0.00",NA,0,NA,0,NA,"0.00",NA,NA,"0.00",NA,"0.00",NA,0,NA,0,NA,NA,0,"BG, NA"
"27","BH","Belize",399598,17.189877,-88.49765,2020-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,"0.00",NA,NA,"0.00",NA,0,NA,0,NA,"0.00",NA,NA,"0.00",NA,"0.00",NA,0,NA,0,NA,NA,0,"BH, NA"
"28","BK","Bosnia and Herzegovina",3835586,43.915886,17.679076,2020-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,"0.00",NA,NA,"0.00",NA,0,NA,0,NA,"0.00",NA,NA,"0.00",NA,"0.00",NA,0,NA,0,NA,NA,0,"BK, NA"
"29","BL","Bolivia",11639909,-16.290154,-63.588653,2020-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,"0.00",NA,NA,"0.00",NA,0,NA,0,NA,"0.00",NA,NA,"0.00",NA,"0.00",NA,0,NA,0,NA,NA,0,"BL, NA"
"30","BM","Burma",56590071,21.916221,95.955974,2020-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,"0.00",NA,"""That Myanmar would be hit by the coronavirus was inevitable—but the government did not take action quickly. The country shares a nearly 1,400-mile border with China, with an estimated 10,000 migrant workers crossing on a daily basis until late January. Direct flights traveled from the coronavirus’s initial epicenter in Wuhan, China, to Myanmar’s three international airports on a weekly basis before they were suspended that month. Over 320,000 Chinese tourists visited Myanmar in 2019.    Despite the transport links and high risk, the government didn’t acknowledge that Myanmar’s lack of confirmed cases was likely due to a lack of testing. Officials instead came up with explanations that would make epidemiologists shudder. On March 14, government spokesperson Zaw Htay said that “lifestyle and diet” protected Myanmar citizens from the infection, alluding to the nationalist perception of the country as rooted in tradition. He also claimed that limited credit card usage in the country stopped the virus from spreading.""    https://web.archive.org/web/20200507082708/https://foreignpolicy.com/2020/05/01/myanmar-coronavirus-pandemic-gives-nationalists-opening-ethnic-minorities-risk/","0.00","""Despite the transport links and high risk, the government didn’t acknowledge that Myanmar’s lack of confirmed cases was likely due to a lack of testing. Officials instead came up with explanations that would make epidemiologists shudder. On March 14, government spokesperson Zaw Htay said that “lifestyle and diet” protected Myanmar citizens from the infection, alluding to the nationalist perception of the country as rooted in tradition. He also claimed that limited credit card usage in the country stopped the virus from spreading.""    ""Myanmar has two national-level COVID-19 response committees, one led by the civilian government and one with significant military representation. Community quarantines were established in areas with returning migrant workers, but they are often run by locals with little government support. Yangon, Myanmar’s largest city, imposed a lockdown during the Thingyan holiday from April 10 to April 19, which prevented people from gathering in large numbers to celebrate. During that time, the number of cases roughly quadrupled, with the majority in Yangon. Restrictions remain in 10 neighborhoods, but they are poorly enforced at the community level.""    https://web.archive.org/web/20200507082708/https://foreignpolicy.com/2020/05/01/myanmar-coronavirus-pandemic-gives-nationalists-opening-ethnic-minorities-risk/",0,NA,0,NA,"0.00",NA,NA,"0.00",NA,"0.00",NA,0,NA,0,NA,NA,0,"BM, NA"
"31","BN","Benin",11956340,9.30769,2.315834,2020-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,"0.00",NA,NA,"0.00",NA,0,NA,0,NA,"0.00",NA,NA,"0.00","First case was not until March 16 2020","0.00","First case was not until March 16 2020",0,NA,0,NA,NA,0,"BN, NA"
"32","BO","Belarus",9477918,53.709807,27.953389,2020-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00",NA,"As of 30 March 2020 Belarus had not initiated a nation-wide quarantine effort.  http://web.archive.org/web/20200517222912/https://news.tut.by/society/678395.html","0.00",NA,"As of 30 March 2020 Belarus had not initiated a nation-wide quarantine effort.  http://web.archive.org/web/20200517222912/https://news.tut.by/society/678395.html","0.00",NA,"As of 30 March 2020 Belarus had not initiated a nation-wide quarantine effort.  http://web.archive.org/web/20200517222912/https://news.tut.by/society/678395.html","0.00",NA,"As of 30 March 2020 Belarus had not initiated a nation-wide quarantine effort.  http://web.archive.org/web/20200517222912/https://news.tut.by/society/678395.html","0.00",NA,"As of 30 March 2020 Belarus had not initiated a nation-wide quarantine effort.  http://web.archive.org/web/20200517222912/https://news.tut.by/society/678395.html","0.00",NA,"As of 30 March 2020 Belarus had not initiated a nation-wide quarantine effort.  http://web.archive.org/web/20200517222912/https://news.tut.by/society/678395.html","0.00",NA,"As of 30 March 2020 Belarus had not initiated a nation-wide quarantine effort.  http://web.archive.org/web/20200517222912/https://news.tut.by/society/678395.html","0.00",NA,"0.00",NA,NA,"0.00",NA,0,NA,0,NA,"0.00",NA,NA,"0.00",NA,"0.00",NA,0,NA,0,NA,NA,0,"BO, NA"
"33","BP","Solomon Islands",685097,-9.64571,160.156194,2020-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,"0.00",NA,NA,"0.00",NA,0,NA,0,NA,"0.00",NA,NA,"0.00",NA,"0.00",NA,0,NA,0,NA,NA,0,"BP, NA"
"34","BR","Brazil",211715973,-14.235004,-51.92528,2020-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,"0.00",NA,NA,"0.00",NA,0,NA,0,NA,"0.00",NA,NA,"0.00","Still no suspected cases in the country. ","0.00",NA,0,NA,0,NA,NA,0,"BR, NA"
"35","BT","Bhutan",782318,27.514162,90.433601,2020-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,"0.00",NA,NA,"0.00",NA,0,NA,0,NA,"0.00",NA,NA,"0.00",NA,"0.00",NA,0,NA,0,NA,NA,0,"BT, NA"
